#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
S, , , , , , , , , , , , , ,#,#,#, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#,#,#,
#, ,#, ,#, , , , , , , , , , , , , , ,#, , , , , ,#,#, ,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#,#, ,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#,
#, ,#, ,#,#,#,#,#,#,#,#,#, ,#,#,#,#, ,#, , , , , , , , , , , , ,#, ,#, ,#,#,#,#,#,#,#,#, ,#, ,#, , , ,#, ,#, ,#, , , , , , , ,#,
#, ,#,#,#, ,#,#,#, ,#,#,#,#,#,#, ,#, ,#, , , , , ,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#,#, ,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#,#,#,
#, , , , , , , , , , , , , , , , ,#, ,#,#,#,#,#,#,#,#, , , , , , , ,#, , , , , , , , , , , , , , , , , , ,#, ,#, , , , , , , ,#,
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, , , , , , , , , , ,#,#,#,#,#, ,#,#,#, ,#, ,#, ,#,#, ,#,#,#, ,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#,
#, , , , , , , , , , , , , , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#, ,#, , , , , , , ,#,
#, ,#,#,#,#,#,#,#,#,#,#,#,#, ,#, , , , , , , , , , , , , , , , , , ,#,#, , , , , , , , , ,#, ,#, , , , , ,#, ,#, ,#,#,#,#,#,#,#,
#, ,#, ,#, , , , ,#,#,#,#, , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#, ,#, , , , , ,#,
#, ,#,#,#, , ,#, , , ,#, , ,#,#,#,#, , , , , , ,#, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,#,#,#,#,#,#,#,
#, , ,#,#, ,#, ,#, , , , ,#, ,#,#,#, ,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#, , , , , , ,#,#,
#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#, , , , , , ,#,#,#, ,#,#, , , , , , , , , , , , ,#, ,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,
#,#, , , , , , , , , ,#,#,#, ,#,#,#,#,#,#, ,#,#,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#, ,#,#,#, , , , , , , , , , , , , ,#,#,
#,#,#,#,#,#,#, ,#,#, ,#, , , , , , , , , , , , ,#, ,#,#, ,#, , , , , ,#,#,#,#, ,#, , , , , ,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#, , ,#,
#, ,#,#,#,#,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#, ,#, ,#,#,#, ,#,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#, , , , , , , , , ,#, ,#,#,
#, , , , , , , ,#,#, ,#,#, , , , , , , , , , , ,#, ,#,#, ,#, ,#, ,#, ,#, ,#,#, , , , , , , , , , , ,#,#,#,#,#,#, ,#,#, ,#, ,#,#,
#,#,#,#,#,#,#,#,#,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#,#, ,#, ,#, ,#, ,#, ,#,#, ,#,#,#,#,#,#,#,#,#, ,#, , , , , , , ,#, ,#, ,#,#,
#,#, , , , , , , , , , , , ,#, , , , , , , , , ,#, ,#,#, ,#, ,#, ,#, ,#, ,#,#, ,#, , , ,#, , , ,#, ,#,#,#, ,#,#, ,#,#, ,#, ,#,#,
#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#, ,#, ,#, ,#, ,#, ,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#, ,#, , ,#, ,#,#,
#,#, ,#, , , , ,#,#,#, , , , , , , , , , , , , , , ,#,#, ,#, ,#, ,#, ,#, , , ,#, , , , , ,#,#, ,#, ,#, ,#, ,#,#, ,#,#,#,#, ,#,#,
#,#, ,#, ,#,#, , , , , ,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, ,#,#,#, ,#,#,#,#,#,#,#,#, ,#,#, ,#, ,#,#, ,#,#,
#,#, ,#, ,#,#,#,#,#,#,#,#, ,#,#, ,#,#,#,#,#, , , , , , , ,#, ,#, ,#, ,#, ,#, ,#, , , , , , , , , , , , , , ,#,#, ,#, ,#, , , ,#,
#,#, ,#, , , , , , , , , , , ,#, ,#, , , , , ,#,#,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#, ,#,#,
#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#, , , ,#, ,#,#,#, ,#, ,#, ,#, ,#,#,#, ,#, , , , , , , , , , , ,#, ,#, , , , , ,#,
#, , , , , , , , , , , ,#,#, ,#, , , ,#, ,#,#,#, ,#, ,#,#,#,#,#, ,#, ,#,#,#, , ,#,#, ,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#, ,#,
#,#,#,#, ,#,#,#,#,#,#, ,#,#, ,#, ,#, ,#, , , , , , , , , , , , , , , , , , , , ,#,#, ,#, ,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#,
#, ,#,#, ,#, , , , ,#, ,#,#, ,#, , , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, , , , , , , , ,#,#, ,#, ,#, ,#, ,#, ,#,
#, ,#,#, ,#, ,#,#, ,#, ,#,#, ,#,#,#,#,#, ,#, , , , , , , , , , , , , , , , , , , , , ,#, ,#,#,#,#,#,#, ,#,#, ,#, ,#, ,#, ,#, ,#,
#, ,#,#, ,#, ,#,#, ,#, ,#,#, ,#,#, , , , ,#, ,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#, ,#, ,#, ,#, ,#, ,#,
#, ,#,#, , , ,#,#, ,#, ,#,#, ,#,#,#,#,#, ,#, ,#,#,#,#,#, ,#, ,#,#, , , , , ,#,#,#,#,#, , , , , , ,#,#,#,#,#, ,#, ,#, ,#, ,#, ,#,
#, ,#,#,#,#,#,#,#, ,#, ,#,#, ,#, , ,#,#, ,#, ,#, , , , , ,#, ,#,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#,#, , , , , , , ,#, ,#, ,#, ,#, ,#,
#, , , , , , , , , ,#, ,#,#, ,#, , ,#,#, ,#, ,#,#,#,#,#,#,#, ,#, , , , , , , , , , , , , ,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, ,#,
#,#,#, , ,#,#,#,#,#,#, ,#,#, ,#,#,#,#,#,#,#, ,#, , , , , , , ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, , , , , , , , , , , ,#, ,#, ,#, ,#,
#,#,#, ,#,#,#,#,#,#,#, ,#,#, , , , , , , , , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#, ,#,
#, , , ,#, , , , , , , , ,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#, , , , , , , , , , , , , , , , , ,#, ,#, , ,#,#, , , , , , , , , ,#, ,#,
#, ,#,#,#, ,#,#,#,#,#,#, ,#,#, , , , , , , , , , ,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, , ,#,#, ,#,#,#,#,#,#,#,#,#, ,#,
#, ,#,#,#, ,#, , , , ,#, ,#,#, ,#,#,#,#,#,#,#,#,#,#, , , , , , ,#,#,#,#,#,#,#, ,#,#, ,#, ,#, ,#, , ,#,#, ,#, , , , , , , , , ,#,
#, ,#,#,#, ,#, ,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#, ,#,#, , , , , , ,#,#, ,#,#,#, ,#, , ,#,#, ,#, ,#,#,#,#,#,#,#, ,#,
#, , , , , ,#,#,#,#,#,#, , , , , , , , , , , , , , , ,#,#,#,#, ,#,#, ,#,#,#,#, ,#,#, , , , , ,#, , ,#,#, ,#, , , , , , ,#,#, ,#,
#, ,#,#,#, ,#, , , , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#, ,#,#,#,#,#,#,
#,#,#, ,#, , , ,#,#, , , , , , , , , , , , , , , , , , , , , , , , , ,#, , ,#, , , , , , , , , , , , , , ,#, , ,#, , , , , , ,#,
#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#, ,#,
#, ,#, ,#, , , , , , , , , , , , ,#, ,#, , , , , , , , , , , , , ,#,#,#,#,#,#,#,#,#,#, , , , , , , , ,#,#,#,#, ,#,#,#,#, ,#, ,#,
#, ,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#, , , , , , , , , , ,#,#,#,#,#,#, , , , , , , , , , , ,#, ,#,
#, ,#, , , , , , , , , , , , , , , , ,#, ,#, , , , , , , , , ,#, ,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#, ,#,
#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#, , , , , , , , , , , , ,#, , , , , , , , ,#, , , , , , , , , ,#,
#, , , , , , , , , , , , , , ,#,#,#, ,#, ,#, , , , , , , ,#, ,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,
#, ,#,#,#,#,#,#,#,#,#,#,#,#, , ,#, , ,#, ,#, ,#,#,#,#,#,#,#, , , , , , , , , , , , , , ,#, ,#, , , , , , , , , , , , , , , , ,#,
#, , , , , , ,#,#,#,#, , ,#,#, ,#, ,#,#, ,#,#,#,#,#,#, , ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#,
#, ,#,#,#,#, , , , , , ,#,#, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#, ,G,
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
